binID	qvalue	predicted_accuracy	damage_model_p	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4
RIG001_015	0.0000	0.9100	0.4000	0.1800	0.1050	0.0590	0.0510	0.0410
RIG001_016	0.0000	0.9720	0.3600	0.2500	0.1500	0.0960	0.0760	0.0650
RIG001_017	0.0000	0.9870	0.2900	0.2820	0.1820	0.1160	0.0985	0.0790
RIG001_018	0.0000	0.9900	0.3110	0.3030	0.1960	0.1250	0.0970	0.0710
RIG001_019	0.0000	0.9880	0.2650	0.3040	0.1895	0.1400	0.1150	0.0880
SPM002_001	1.0000	0.2610	0.4320	0.0000	0.0000	0.0000	0.0000	0.0000
TAF008_001	0.0000	0.9990	0.4100	0.4225	0.2410	0.1430	0.1070	0.0765
TAF008_002	0.0000	1.0000	0.4010	0.4480	0.2560	0.1610	0.1170	0.0880
TAF008_003	0.0000	1.0000	0.3850	0.4620	0.2720	0.1690	0.1260	0.0950
TAF008_004	0.0000	1.0000	0.3705	0.4870	0.2900	0.1865	0.1360	0.0990
TAF008_005	0.0000	1.0000	0.3810	0.4560	0.2740	0.1735	0.1290	0.0950
TAF008_006	0.0000	0.9990	0.3890	0.4470	0.2555	0.1640	0.1200	0.0860
TAF008_007	0.0000	1.0000	0.3940	0.4480	0.2680	0.1670	0.1160	0.0910
TAF008_008	0.0000	0.9990	0.3970	0.4285	0.2470	0.1500	0.1110	0.0770
TAF008_009	0.0000	1.0000	0.3900	0.4430	0.2610	0.1610	0.1180	0.0840
TAF008_010	0.0000	1.0000	0.3430	0.4670	0.3080	0.1920	0.1330	0.1030
TAF017_001	0.0000	1.0000	0.4240	0.4760	0.2950	0.1570	0.0970	0.0720
TAF018_001	0.0000	0.8850	0.3380	0.1440	0.1080	0.0600	0.0500	0.0370
TAF018_002	0.0000	1.0000	0.3650	0.4190	0.2560	0.1580	0.1200	0.0890
VLD001_001	0.0000	1.0000	0.5065	0.2020	0.1035	0.0540	0.0425	0.0370
ZAF001_001	0.0880	0.3100	0.4270	0.0010	0.0000	0.0000	0.0000	0.0000
